code_module,code_presentation,id_student,final_result,cluster,pca1,pca2,sum_click_total_7w
AAA,2013J,11391,Pass,0,-0.612992825338074,-0.4495838330190681,411
AAA,2013J,28400,Pass,0,-0.13318482657978525,0.3529369491708707,431
AAA,2013J,30268,Withdrawn,0,-1.35047065300874,-0.22336843482289337,179
AAA,2013J,31604,Pass,0,0.4726725495779849,0.47950541448999207,569
AAA,2013J,32885,Pass,0,-0.9160291616859915,-0.42339443217924505,306
AAA,2013J,38053,Pass,0,0.060801095869174274,0.0971961857856571,599
AAA,2013J,45462,Pass,0,-0.0521979090531155,-0.2065747417330399,471
AAA,2013J,45642,Pass,0,0.05760254535729386,0.29826128622825654,512
AAA,2013J,52130,Pass,0,0.28004291281775956,0.5789261039168491,448
AAA,2013J,53025,Pass,0,-0.4525486921714359,0.12453519136721784,476
AAA,2013J,57506,Pass,0,0.48406218789118055,0.08860118798408805,541
AAA,2013J,58873,Pass,0,0.1091448880128587,0.38991824535477526,455
AAA,2013J,59185,Pass,0,0.3494076639590961,-0.03063471526294457,537
AAA,2013J,62155,Pass,0,0.09656259590385569,-0.6455687921941938,695
AAA,2013J,63400,Pass,3,1.25413667498529,0.4420244596486469,707
AAA,2013J,65002,Withdrawn,0,-1.5134218795823369,-0.33439607103811353,113
AAA,2013J,70464,Pass,0,-0.2418734198697434,0.030079452225735315,389
AAA,2013J,71361,Pass,3,1.3885003542212744,0.22943757194647965,1012
AAA,2013J,74372,Fail,0,-1.8182261294804714,-0.3008707296039064,28
AAA,2013J,75091,Pass,0,0.3744839890932589,0.1722953474544988,643
AAA,2013J,77367,Pass,0,-0.819870013160344,-0.0008183612863353267,260
AAA,2013J,91265,Pass,0,0.3014542463148217,0.3704916442094146,456
AAA,2013J,94961,Withdrawn,0,-0.8470485035354973,-0.11205943685064777,234
AAA,2013J,98094,Pass,0,1.577069589583383,-1.4845911987932021,1041
AAA,2013J,100893,Pass,0,-0.48924175359316613,0.2807812006217487,311
